B3DB_RF_BBB-,B3DB_GraphSAGE_BBB-,BBBP_RF_BBB-,BBBP_GraphSAGE_BBB-,B3DB_RF_BBB+,B3DB_GraphSAGE_BBB+,BBBP_RF_BBB+,BBBP_GraphSAGE_BBB+
45.27 ,59.06 ,40.27 ,42.03 ,35.00 ,36.03 ,24.71 ,28.57 
45.21 ,56.72 ,40.14 ,42.02 ,35.00 ,36.03 ,24.47 ,28.06 
45.21 ,56.62 ,39.80 ,41.81 ,34.51 ,36.03 ,24.26 ,27.81 
45.21 ,56.13 ,39.77 ,41.54 ,34.51 ,35.84 ,23.89 ,27.69 
45.21 ,56.13 ,39.67 ,41.12 ,34.43 ,35.84 ,23.58 ,27.51 
45.21 ,56.13 ,39.57 ,41.03 ,34.40 ,35.84 ,23.42 ,27.28 
44.94 ,56.13 ,39.36 ,40.58 ,34.21 ,35.84 ,23.36 ,27.27 
44.94 ,56.13 ,39.06 ,40.52 ,34.21 ,35.80 ,23.07 ,27.20 
44.94 ,55.36 ,39.05 ,40.35 ,34.21 ,35.54 ,22.98 ,27.13 
44.94 ,55.36 ,39.02 ,40.10 ,33.48 ,35.54 ,22.64 ,26.91 
44.94 ,55.36 ,38.71 ,39.80 ,32.57 ,34.80 ,22.55 ,26.86 
44.94 ,55.36 ,38.27 ,39.66 ,32.57 ,34.73 ,22.24 ,26.40 
44.88 ,54.37 ,38.23 ,39.52 ,30.91 ,34.73 ,22.06 ,26.27 
44.88 ,53.87 ,38.22 ,39.37 ,30.91 ,34.40 ,21.62 ,26.19 
44.88 ,53.87 ,37.98 ,38.70 ,30.91 ,34.40 ,21.54 ,25.74 
44.81 ,53.87 ,37.20 ,38.68 ,30.80 ,34.40 ,21.52 ,25.41 
44.81 ,53.87 ,37.19 ,38.68 ,30.77 ,33.75 ,21.47 ,25.35 
44.81 ,53.80 ,37.12 ,38.25 ,29.82 ,33.68 ,21.42 ,25.27 
44.81 ,53.80 ,37.12 ,38.20 ,29.82 ,33.53 ,21.38 ,25.13 
44.81 ,53.80 ,37.00 ,38.19 ,29.26 ,33.53 ,21.35 ,25.01 
44.63 ,53.80 ,36.78 ,38.08 ,28.52 ,33.37 ,21.30 ,24.95 
44.63 ,53.80 ,36.78 ,38.05 ,27.57 ,32.72 ,21.07 ,24.87 
44.63 ,53.61 ,36.77 ,37.69 ,27.38 ,32.72 ,21.06 ,24.87 
44.63 ,53.61 ,36.74 ,37.24 ,27.02 ,32.00 ,20.59 ,24.87 
44.63 ,52.56 ,36.73 ,36.84 ,26.72 ,32.00 ,20.57 ,24.70 
44.60 ,50.16 ,36.72 ,36.38 ,26.72 ,31.98 ,20.03 ,24.56 
44.60 ,49.88 ,36.70 ,36.19 ,26.55 ,31.59 ,19.90 ,24.44 
44.60 ,49.88 ,36.62 ,35.84 ,26.50 ,30.97 ,19.82 ,24.40 
44.60 ,49.20 ,36.54 ,35.41 ,26.50 ,30.93 ,19.70 ,24.02 
44.56 ,49.20 ,36.48 ,34.94 ,26.39 ,30.90 ,19.61 ,23.94 
43.73 ,47.50 ,36.30 ,34.74 ,26.33 ,30.90 ,19.57 ,23.85 
43.73 ,47.50 ,36.26 ,34.72 ,25.98 ,30.77 ,19.49 ,23.73 
43.73 ,47.50 ,36.10 ,34.61 ,25.91 ,30.77 ,19.47 ,23.69 
43.73 ,47.50 ,36.10 ,34.26 ,25.91 ,30.75 ,19.44 ,23.48 
43.73 ,47.50 ,36.10 ,34.01 ,25.91 ,30.75 ,19.41 ,23.38 
43.73 ,47.50 ,35.98 ,33.99 ,25.20 ,30.75 ,19.34 ,23.35 
43.70 ,47.36 ,35.89 ,33.43 ,25.20 ,30.75 ,19.25 ,23.35 
43.65 ,47.17 ,35.73 ,33.22 ,25.02 ,30.34 ,19.24 ,22.83 
43.46 ,47.17 ,35.64 ,33.09 ,24.74 ,30.34 ,19.19 ,22.83 
43.46 ,47.17 ,35.53 ,32.78 ,24.57 ,30.33 ,19.09 ,22.76 
43.46 ,46.41 ,35.08 ,32.48 ,24.56 ,30.33 ,19.01 ,22.61 
43.46 ,46.41 ,34.87 ,31.90 ,24.47 ,30.33 ,18.99 ,22.58 
43.46 ,46.41 ,34.48 ,31.77 ,24.47 ,30.33 ,18.87 ,22.57 
43.46 ,46.41 ,34.01 ,31.71 ,23.89 ,30.33 ,18.64 ,22.45 
43.43 ,46.41 ,33.85 ,31.55 ,23.89 ,30.32 ,18.64 ,22.40 
43.43 ,46.31 ,32.96 ,31.27 ,23.89 ,30.29 ,18.44 ,22.39 
43.43 ,46.24 ,32.17 ,31.12 ,23.36 ,30.29 ,18.41 ,22.36 
43.43 ,46.24 ,32.04 ,30.94 ,23.36 ,30.29 ,18.38 ,22.32 
43.43 ,46.24 ,31.93 ,30.87 ,23.36 ,30.29 ,18.33 ,22.28 
42.94 ,46.24 ,31.84 ,30.65 ,23.36 ,30.29 ,18.33 ,22.24 
42.73 ,46.24 ,31.75 ,30.49 ,23.36 ,30.14 ,18.31 ,22.10 
42.25 ,46.24 ,31.60 ,30.14 ,23.07 ,30.14 ,18.24 ,22.05 
42.25 ,46.24 ,31.57 ,30.08 ,23.07 ,30.14 ,18.12 ,21.86 
42.22 ,46.23 ,31.37 ,29.84 ,23.07 ,29.67 ,18.12 ,21.85 
42.22 ,46.23 ,31.25 ,29.52 ,22.93 ,29.67 ,18.10 ,21.83 
42.17 ,46.23 ,31.25 ,29.33 ,22.93 ,29.60 ,18.09 ,21.74 
42.15 ,46.23 ,31.16 ,29.25 ,22.93 ,29.60 ,17.99 ,21.72 
41.54 ,46.23 ,31.16 ,29.14 ,22.93 ,29.49 ,17.93 ,21.57 
41.49 ,46.23 ,31.09 ,29.03 ,22.93 ,29.21 ,17.89 ,21.57 
41.49 ,46.23 ,30.96 ,28.99 ,22.87 ,29.21 ,17.83 ,21.56 
41.49 ,45.75 ,30.84 ,28.82 ,22.80 ,29.21 ,17.69 ,21.48 
41.49 ,45.49 ,30.74 ,28.71 ,22.80 ,29.21 ,17.56 ,21.47 
41.49 ,45.49 ,30.70 ,28.60 ,22.65 ,29.18 ,17.52 ,21.39 
41.39 ,45.49 ,30.58 ,28.52 ,22.63 ,29.18 ,17.51 ,21.37 
41.17 ,45.49 ,30.55 ,28.43 ,22.56 ,29.17 ,17.51 ,21.36 
41.17 ,45.49 ,30.45 ,27.96 ,22.56 ,29.14 ,17.50 ,21.21 
41.17 ,45.49 ,30.34 ,27.93 ,22.56 ,29.14 ,17.49 ,21.14 
41.17 ,45.49 ,30.32 ,27.85 ,22.56 ,29.14 ,17.42 ,21.12 
41.17 ,45.49 ,30.31 ,27.01 ,22.27 ,28.87 ,17.40 ,20.92 
41.17 ,45.49 ,30.15 ,26.98 ,22.27 ,28.87 ,17.36 ,20.75 
41.17 ,45.49 ,29.89 ,26.74 ,22.27 ,28.71 ,17.35 ,20.65 
41.14 ,45.49 ,29.74 ,26.68 ,22.24 ,28.62 ,17.33 ,20.62 
41.14 ,45.49 ,29.45 ,26.65 ,22.24 ,28.57 ,17.23 ,20.61 
41.11 ,44.27 ,29.42 ,26.65 ,22.01 ,28.54 ,17.22 ,20.58 
41.08 ,44.27 ,29.40 ,26.59 ,22.01 ,28.06 ,17.19 ,20.48 
40.98 ,44.27 ,29.37 ,26.35 ,22.01 ,27.81 ,17.16 ,20.41 
40.96 ,44.27 ,29.28 ,26.31 ,22.01 ,27.81 ,17.15 ,20.34 
40.95 ,44.27 ,29.10 ,26.30 ,21.84 ,27.81 ,17.10 ,20.31 
40.91 ,44.20 ,29.05 ,26.16 ,21.47 ,27.69 ,17.08 ,20.30 
40.91 ,44.20 ,29.04 ,26.07 ,21.30 ,27.69 ,17.07 ,20.21 
40.91 ,44.20 ,28.92 ,26.04 ,21.30 ,27.69 ,17.04 ,20.15 
40.86 ,44.20 ,28.85 ,25.93 ,21.27 ,27.51 ,17.00 ,20.10 
40.86 ,44.20 ,28.83 ,25.89 ,21.27 ,27.41 ,16.94 ,20.00 
40.86 ,43.88 ,28.54 ,25.67 ,21.25 ,27.40 ,16.89 ,19.99 
40.86 ,43.88 ,28.29 ,25.39 ,21.25 ,27.37 ,16.85 ,19.94 
40.86 ,43.87 ,28.24 ,25.32 ,21.03 ,27.28 ,16.85 ,19.79 
40.86 ,43.87 ,28.00 ,25.31 ,21.00 ,27.28 ,16.80 ,19.77 
40.86 ,43.87 ,27.66 ,25.18 ,20.59 ,27.27 ,16.78 ,19.37 
40.86 ,43.87 ,27.24 ,25.14 ,20.56 ,27.27 ,16.77 ,19.36 
40.86 ,43.87 ,26.91 ,24.98 ,20.54 ,27.20 ,16.75 ,19.23 
40.86 ,43.46 ,26.73 ,24.70 ,20.54 ,27.20 ,16.73 ,19.23 
40.86 ,43.46 ,26.72 ,24.62 ,20.54 ,27.13 ,16.72 ,19.16 
40.62 ,43.46 ,26.41 ,24.52 ,20.54 ,26.91 ,16.57 ,19.04 
40.27 ,43.46 ,26.21 ,24.31 ,20.54 ,26.86 ,16.56 ,18.93 
40.14 ,43.46 ,26.21 ,24.22 ,20.54 ,26.86 ,16.54 ,18.92 
40.14 ,43.18 ,26.16 ,24.21 ,20.53 ,26.71 ,16.50 ,18.86 
40.14 ,43.18 ,26.08 ,24.00 ,20.41 ,26.68 ,16.46 ,18.77 
40.14 ,43.18 ,25.90 ,23.96 ,20.41 ,26.67 ,16.44 ,18.74 
40.14 ,43.18 ,25.87 ,23.86 ,20.41 ,26.67 ,16.35 ,18.72 
40.14 ,43.18 ,25.86 ,23.86 ,20.28 ,26.40 ,16.24 ,18.71 
40.14 ,43.15 ,25.85 ,23.86 ,20.22 ,26.27 ,16.19 ,18.67 
39.88 ,43.10 ,25.71 ,23.79 ,20.22 ,26.19 ,16.17 ,18.65 
39.88 ,43.10 ,25.69 ,23.69 ,20.22 ,26.19 ,16.15 ,18.63 
39.71 ,43.10 ,25.66 ,23.64 ,20.03 ,26.19 ,16.15 ,18.51 
39.39 ,43.10 ,25.44 ,23.64 ,20.03 ,25.74 ,16.09 ,18.36 
39.39 ,42.96 ,25.44 ,23.58 ,19.93 ,25.74 ,16.02 ,18.36 
39.39 ,42.96 ,25.33 ,23.54 ,19.90 ,25.74 ,15.93 ,18.29 
39.26 ,42.96 ,24.49 ,23.52 ,19.90 ,25.74 ,15.75 ,18.23 
39.26 ,42.96 ,24.17 ,23.51 ,19.83 ,25.72 ,15.74 ,18.23 
39.26 ,42.96 ,24.05 ,23.45 ,19.82 ,25.67 ,15.72 ,18.21 
39.26 ,42.77 ,24.02 ,23.35 ,19.70 ,25.67 ,15.66 ,18.13 
39.21 ,42.38 ,23.86 ,23.29 ,19.57 ,25.67 ,15.64 ,18.13 
39.21 ,42.38 ,23.82 ,23.23 ,19.57 ,25.61 ,15.63 ,18.13 
39.21 ,42.38 ,23.82 ,23.22 ,19.57 ,25.41 ,15.58 ,18.11 
39.21 ,42.38 ,23.49 ,23.18 ,19.57 ,25.41 ,15.54 ,18.06 
39.21 ,42.38 ,23.42 ,23.13 ,19.57 ,25.39 ,15.54 ,18.03 
39.06 ,42.21 ,23.13 ,23.12 ,19.57 ,25.35 ,15.41 ,18.01 
39.06 ,42.21 ,23.06 ,23.12 ,19.54 ,25.35 ,15.41 ,18.01 
39.06 ,42.21 ,23.02 ,23.11 ,19.54 ,25.35 ,15.39 ,18.00 
39.06 ,42.21 ,22.90 ,23.11 ,19.54 ,25.35 ,15.38 ,17.99 
39.06 ,42.03 ,22.79 ,23.08 ,19.51 ,25.27 ,15.35 ,17.93 
39.05 ,42.03 ,22.64 ,23.01 ,19.51 ,25.16 ,15.35 ,17.91 
39.05 ,42.03 ,22.42 ,23.00 ,19.50 ,25.11 ,15.29 ,17.91 
39.05 ,42.03 ,22.39 ,22.89 ,19.44 ,25.11 ,15.29 ,17.86 
39.05 ,42.03 ,22.17 ,22.66 ,19.41 ,25.01 ,15.28 ,17.86 
39.05 ,42.03 ,22.10 ,22.39 ,19.37 ,24.95 ,15.21 ,17.82 
39.05 ,42.03 ,22.03 ,22.22 ,19.37 ,24.95 ,15.21 ,17.82 
38.86 ,42.02 ,21.87 ,22.01 ,19.35 ,24.95 ,15.16 ,17.71 
38.86 ,42.02 ,21.87 ,21.96 ,19.35 ,24.87 ,15.13 ,17.69 
38.86 ,42.02 ,21.85 ,21.95 ,19.34 ,24.70 ,15.13 ,17.68 
38.86 ,42.02 ,21.68 ,21.82 ,19.31 ,24.68 ,15.11 ,17.63 
38.86 ,42.02 ,21.64 ,21.70 ,19.30 ,24.56 ,15.09 ,17.60 
38.86 ,42.01 ,21.38 ,21.70 ,19.28 ,24.40 ,15.08 ,17.60 
38.71 ,41.86 ,21.30 ,21.65 ,19.24 ,24.40 ,15.03 ,17.58 
38.71 ,41.81 ,21.09 ,21.64 ,19.19 ,24.02 ,15.01 ,17.42 
38.71 ,41.81 ,21.05 ,21.48 ,19.19 ,24.00 ,14.99 ,17.37 
38.71 ,41.81 ,21.03 ,21.36 ,19.19 ,23.96 ,14.98 ,17.37 
38.71 ,41.81 ,20.87 ,21.28 ,19.19 ,23.94 ,14.98 ,17.28 
38.71 ,41.81 ,20.87 ,21.21 ,19.14 ,23.94 ,14.97 ,17.28 
38.71 ,41.81 ,20.68 ,21.14 ,19.07 ,23.85 ,14.93 ,17.27 
38.39 ,41.72 ,20.60 ,21.09 ,19.06 ,23.85 ,14.89 ,17.23 
38.39 ,41.72 ,20.56 ,21.05 ,19.01 ,23.85 ,14.89 ,17.19 
38.39 ,41.72 ,20.56 ,21.04 ,18.99 ,23.85 ,14.88 ,17.10 
38.39 ,41.54 ,20.54 ,21.00 ,18.95 ,23.73 ,14.88 ,17.07 
38.39 ,41.54 ,20.50 ,20.94 ,18.95 ,23.69 ,14.84 ,17.07 
38.39 ,41.54 ,20.48 ,20.93 ,18.89 ,23.69 ,14.84 ,17.04 
38.27 ,41.54 ,20.48 ,20.92 ,18.88 ,23.69 ,14.80 ,16.98 
38.27 ,41.54 ,20.47 ,20.91 ,18.88 ,23.69 ,14.78 ,16.97 
38.27 ,41.54 ,20.46 ,20.89 ,18.82 ,23.53 ,14.76 ,16.94 
38.27 ,41.54 ,20.42 ,20.87 ,18.76 ,23.52 ,14.76 ,16.91 
38.27 ,41.13 ,20.27 ,20.87 ,18.69 ,23.52 ,14.76 ,16.79 
38.22 ,41.12 ,20.23 ,20.86 ,18.64 ,23.48 ,14.66 ,16.77 
38.22 ,41.12 ,20.11 ,20.86 ,18.64 ,23.48 ,14.66 ,16.77 
38.22 ,41.12 ,20.02 ,20.82 ,18.64 ,23.48 ,14.66 ,16.76 
38.22 ,41.12 ,19.68 ,20.73 ,18.63 ,23.46 ,14.66 ,16.75 
38.22 ,41.12 ,19.63 ,20.60 ,18.62 ,23.46 ,14.65 ,16.68 
38.22 ,41.12 ,19.63 ,20.50 ,18.59 ,23.46 ,14.64 ,16.57 
38.20 ,41.09 ,19.53 ,20.48 ,18.55 ,23.46 ,14.61 ,16.53 
38.20 ,41.03 ,19.47 ,20.48 ,18.48 ,23.39 ,14.59 ,16.52 
38.20 ,41.03 ,19.29 ,20.34 ,18.44 ,23.38 ,14.58 ,16.52 
38.20 ,41.03 ,19.26 ,20.22 ,18.43 ,23.35 ,14.56 ,16.46 
38.20 ,41.03 ,19.16 ,20.18 ,18.41 ,23.35 ,14.51 ,16.42 
38.17 ,41.03 ,19.14 ,20.14 ,18.41 ,23.35 ,14.48 ,16.42 
38.17 ,41.03 ,19.12 ,20.01 ,18.41 ,23.35 ,14.46 ,16.29 
38.17 ,40.58 ,19.04 ,19.96 ,18.40 ,23.35 ,14.45 ,16.28 
38.17 ,40.58 ,19.02 ,19.89 ,18.38 ,22.83 ,14.45 ,16.28 
38.17 ,40.58 ,18.95 ,19.89 ,18.37 ,22.76 ,14.41 ,16.28 
38.17 ,40.58 ,18.86 ,19.88 ,18.34 ,22.76 ,14.39 ,16.26 
38.17 ,40.58 ,18.60 ,19.79 ,18.33 ,22.61 ,14.36 ,16.21 
38.11 ,40.52 ,18.58 ,19.71 ,18.33 ,22.61 ,14.33 ,16.19 
38.11 ,40.52 ,18.55 ,19.64 ,18.28 ,22.58 ,14.31 ,16.17 
38.11 ,40.52 ,18.55 ,19.39 ,18.24 ,22.57 ,14.30 ,16.12 
38.11 ,40.52 ,18.42 ,19.36 ,18.16 ,22.57 ,14.29 ,16.11 
38.11 ,40.52 ,18.40 ,19.21 ,18.14 ,22.57 ,14.29 ,16.09 
38.03 ,40.46 ,18.39 ,19.21 ,18.13 ,22.49 ,14.28 ,16.08 
38.03 ,40.41 ,18.31 ,18.98 ,18.12 ,22.49 ,14.28 ,16.07 
38.03 ,40.10 ,17.94 ,18.88 ,18.10 ,22.45 ,14.20 ,16.05 
38.03 ,40.10 ,17.91 ,18.84 ,18.08 ,22.45 ,14.20 ,15.99 
38.03 ,40.10 ,17.88 ,18.75 ,18.07 ,22.45 ,14.19 ,15.93 
38.02 ,40.10 ,17.84 ,18.68 ,18.07 ,22.45 ,14.17 ,15.85 
38.02 ,40.10 ,17.61 ,18.62 ,18.00 ,22.45 ,14.14 ,15.82 
38.02 ,40.10 ,17.54 ,18.53 ,17.99 ,22.45 ,14.07 ,15.77 
38.02 ,39.80 ,17.41 ,18.47 ,17.99 ,22.40 ,14.05 ,15.75 
37.84 ,39.80 ,17.39 ,18.46 ,17.98 ,22.40 ,13.95 ,15.75 
37.84 ,39.66 ,17.33 ,18.34 ,17.98 ,22.40 ,13.91 ,15.75 
37.84 ,39.66 ,17.11 ,18.24 ,17.96 ,22.40 ,13.90 ,15.73 
37.84 ,39.66 ,17.04 ,18.22 ,17.93 ,22.39 ,13.88 ,15.68 
37.84 ,39.66 ,17.02 ,18.20 ,17.93 ,22.39 ,13.87 ,15.65 
37.31 ,39.66 ,17.00 ,18.19 ,17.93 ,22.39 ,13.85 ,15.64 
37.12 ,39.66 ,16.97 ,18.05 ,17.93 ,22.39 ,13.82 ,15.62 
37.12 ,39.52 ,16.90 ,18.01 ,17.91 ,22.39 ,13.81 ,15.59 
37.12 ,39.52 ,16.87 ,18.01 ,17.89 ,22.36 ,13.80 ,15.58 
37.12 ,39.52 ,16.72 ,18.00 ,17.89 ,22.32 ,13.79 ,15.57 
37.12 ,39.52 ,16.67 ,17.83 ,17.87 ,22.32 ,13.76 ,15.57 
37.12 ,39.52 ,16.49 ,17.83 ,17.86 ,22.32 ,13.76 ,15.56 
37.12 ,39.52 ,16.21 ,17.74 ,17.85 ,22.31 ,13.75 ,15.56 
37.12 ,39.37 ,16.10 ,17.71 ,17.83 ,22.28 ,13.74 ,15.53 
37.12 ,39.37 ,16.07 ,17.68 ,17.79 ,22.28 ,13.73 ,15.48 
37.12 ,39.37 ,15.48 ,17.55 ,17.79 ,22.28 ,13.72 ,15.43 
37.12 ,39.37 ,15.44 ,17.52 ,17.78 ,22.26 ,13.71 ,15.37 
37.12 ,39.37 ,15.37 ,17.38 ,17.76 ,22.26 ,13.71 ,15.32 
37.12 ,39.37 ,15.32 ,17.37 ,17.76 ,22.26 ,13.69 ,15.32 
37.12 ,39.25 ,14.66 ,17.34 ,17.72 ,22.24 ,13.69 ,15.30 
37.11 ,39.25 ,14.40 ,17.32 ,17.72 ,22.24 ,13.66 ,15.29 
37.11 ,39.25 ,14.40 ,17.21 ,17.72 ,22.20 ,13.64 ,15.28 
37.11 ,39.25 ,14.35 ,17.15 ,17.71 ,22.06 ,13.64 ,15.27 
36.78 ,39.25 ,14.35 ,17.15 ,17.66 ,22.06 ,13.63 ,15.22 
36.78 ,39.18 ,14.23 ,17.14 ,17.63 ,22.01 ,13.61 ,15.21 
36.78 ,39.16 ,14.22 ,17.08 ,17.62 ,21.86 ,13.61 ,15.19 
36.78 ,39.16 ,14.22 ,17.00 ,17.56 ,21.86 ,13.60 ,15.17 
36.78 ,39.16 ,14.19 ,16.94 ,17.53 ,21.85 ,13.58 ,15.16 
36.78 ,39.16 ,14.04 ,16.81 ,17.53 ,21.85 ,13.58 ,15.14 
36.78 ,39.16 ,13.81 ,16.81 ,17.52 ,21.83 ,13.55 ,15.10 
36.78 ,39.12 ,13.75 ,16.75 ,17.52 ,21.79 ,13.54 ,15.04 
36.78 ,38.70 ,13.69 ,16.59 ,17.52 ,21.77 ,13.52 ,15.02 
36.78 ,38.70 ,13.67 ,16.37 ,17.51 ,21.72 ,13.50 ,14.94 
36.78 ,38.70 ,13.66 ,16.33 ,17.50 ,21.72 ,13.47 ,14.93 
36.74 ,38.70 ,13.60 ,16.21 ,17.50 ,21.72 ,13.46 ,14.93 
36.74 ,38.70 ,13.57 ,16.17 ,17.50 ,21.72 ,13.45 ,14.89 
36.74 ,38.70 ,13.49 ,16.03 ,17.49 ,21.72 ,13.44 ,14.87 
36.74 ,38.68 ,13.21 ,15.79 ,17.49 ,21.72 ,13.40 ,14.87 
36.74 ,38.68 ,13.21 ,15.62 ,17.45 ,21.66 ,13.40 ,14.83 
36.74 ,38.68 ,13.14 ,15.61 ,17.42 ,21.65 ,13.39 ,14.80 
36.74 ,38.68 ,13.07 ,15.51 ,17.42 ,21.58 ,13.38 ,14.76 
36.72 ,38.68 ,12.90 ,15.29 ,17.42 ,21.57 ,13.38 ,14.75 
36.72 ,38.68 ,12.87 ,15.23 ,17.40 ,21.57 ,13.37 ,14.67 
36.72 ,38.68 ,12.86 ,15.18 ,17.39 ,21.48 ,13.37 ,14.63 
36.72 ,38.68 ,12.75 ,15.12 ,17.37 ,21.47 ,13.30 ,14.54 
36.72 ,38.25 ,12.72 ,15.05 ,17.36 ,21.45 ,13.30 ,14.51 
36.70 ,38.25 ,12.49 ,14.95 ,17.35 ,21.45 ,13.28 ,14.47 
36.70 ,38.25 ,12.33 ,14.94 ,17.34 ,21.39 ,13.24 ,14.44 
36.70 ,38.25 ,12.32 ,14.75 ,17.33 ,21.39 ,13.23 ,14.42 
36.70 ,38.25 ,12.27 ,14.72 ,17.33 ,21.36 ,13.22 ,14.41 
36.70 ,38.20 ,12.20 ,14.61 ,17.33 ,21.36 ,13.19 ,14.36 
36.70 ,38.20 ,12.20 ,14.42 ,17.33 ,21.36 ,13.17 ,14.34 
36.70 ,38.20 ,12.16 ,14.37 ,17.33 ,21.33 ,13.16 ,14.34 
36.69 ,38.20 ,12.16 ,14.34 ,17.31 ,21.28 ,13.13 ,14.29 
36.69 ,38.20 ,12.05 ,14.28 ,17.31 ,21.28 ,13.12 ,14.27 
36.69 ,38.20 ,12.03 ,14.18 ,17.30 ,21.21 ,13.12 ,14.27 
36.69 ,38.20 ,12.01 ,14.16 ,17.28 ,21.21 ,13.09 ,14.26 
36.68 ,38.19 ,11.98 ,14.16 ,17.28 ,21.19 ,13.09 ,14.24 
36.68 ,38.19 ,11.86 ,14.08 ,17.23 ,21.18 ,13.06 ,14.21 
36.68 ,38.19 ,11.82 ,13.88 ,17.23 ,21.14 ,13.04 ,14.19 
36.68 ,38.19 ,11.82 ,13.86 ,17.22 ,21.12 ,13.01 ,14.15 
36.62 ,38.19 ,11.68 ,13.74 ,17.22 ,21.12 ,13.01 ,14.12 
36.62 ,38.19 ,11.64 ,13.72 ,17.22 ,21.11 ,13.00 ,14.09 
36.62 ,38.08 ,11.63 ,13.62 ,17.22 ,21.11 ,12.99 ,14.07 
36.62 ,38.08 ,11.62 ,13.61 ,17.19 ,21.11 ,12.92 ,14.07 
36.62 ,38.08 ,11.49 ,13.57 ,17.17 ,21.05 ,12.92 ,14.03 
36.39 ,38.08 ,11.41 ,13.51 ,17.16 ,21.05 ,12.89 ,13.99 
36.35 ,38.08 ,11.39 ,13.50 ,17.16 ,20.94 ,12.83 ,13.97 
36.31 ,38.06 ,11.31 ,13.49 ,17.15 ,20.92 ,12.82 ,13.96 
36.31 ,38.05 ,11.30 ,13.47 ,17.15 ,20.89 ,12.82 ,13.96 
36.27 ,38.05 ,11.26 ,13.47 ,17.15 ,20.77 ,12.82 ,13.91 
36.27 ,38.05 ,11.24 ,13.45 ,17.13 ,20.75 ,12.71 ,13.88 
36.26 ,38.05 ,11.21 ,13.43 ,17.11 ,20.75 ,12.70 ,13.88 
36.18 ,38.05 ,11.17 ,13.43 ,17.11 ,20.75 ,12.68 ,13.83 
36.18 ,38.05 ,11.15 ,13.43 ,17.10 ,20.71 ,12.67 ,13.80 
36.18 ,37.69 ,11.12 ,13.40 ,17.10 ,20.65 ,12.66 ,13.72 
36.17 ,37.69 ,11.07 ,13.35 ,17.10 ,20.65 ,12.65 ,13.71 
36.17 ,37.69 ,11.04 ,13.30 ,17.08 ,20.65 ,12.61 ,13.69 
36.17 ,37.69 ,10.97 ,13.30 ,17.08 ,20.65 ,12.58 ,13.67 
36.17 ,37.69 ,10.96 ,13.30 ,17.07 ,20.65 ,12.58 ,13.65 
36.17 ,37.53 ,10.85 ,13.28 ,17.07 ,20.62 ,12.58 ,13.58 
36.17 ,37.53 ,10.82 ,13.21 ,17.07 ,20.61 ,12.56 ,13.58 
36.17 ,37.53 ,10.80 ,13.19 ,17.07 ,20.61 ,12.56 ,13.58 
36.17 ,36.84 ,10.76 ,13.11 ,17.07 ,20.61 ,12.55 ,13.58 
36.16 ,36.84 ,10.76 ,13.01 ,17.07 ,20.48 ,12.55 ,13.57 
36.14 ,36.84 ,10.69 ,12.94 ,17.06 ,20.48 ,12.48 ,13.52 
36.14 ,36.84 ,10.64 ,12.92 ,17.06 ,20.47 ,12.47 ,13.49 
36.14 ,36.84 ,10.54 ,12.86 ,17.06 ,20.41 ,12.45 ,13.46 
36.10 ,36.84 ,10.49 ,12.65 ,17.05 ,20.41 ,12.43 ,13.45 
