num,smiles,logBB,BBB+/BBB-,predictions
93,CN=C(C[N+](=O)[O-])NCCCSc1ccc(CN(C)C)o1,-1.23,BBB-,16.194655012960002
94,CN=C(C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,-1.23,BBB-,16.655911832960005
95,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,-1.23,BBB-,16.94271889000001
96,CNC(C[N+](=O)[O-])=NCCSc1ccc(CN(C)C)o1,-1.23,BBB-,16.895728130000006
97,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)C(C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,-1.23,BBB-,36.73549885333333
98,CO[C@H]1CN(CC2Cc3ccc(NC(=O)C(C)C)cc3C2)CCC1n1c(C)nc2cc(C)ccc21,-1.22,BBB-,11.039201415919985
99,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,-1.22,BBB-,19.96963437000001
100,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,-1.2,BBB-,36.73549885333333
101,Nc1ccn(C2CCC(CO)O2)c(=O)n1,-1.2,BBB-,14.14151971666667
102,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,-1.2,BBB-,14.14151971666667
103,CN(C)CCc1c[nH]c2ccc(O)cc12,-1.19,BBB-,10.250901179166672
104,CC(=O)Oc1ccc(/C=C/C(=O)NCCc2ccccc2)cc1OC(C)=O,-1.17,BBB-,17.057626824000007
105,CN(C)c1cc(-c2n[nH]c(N)n2)ccn1,-1.17,BBB-,12.34593083
106,NC(N)=Nc1nc(-c2cccc(N)c2)cs1,-1.15,BBB-,12.071007599999998
107,CCOc1ccc(Cc2nc3cc(N(C)S(=O)(=O)c4cccs4)ccc3n2CC2CCCCC2)nc1,-1.15,BBB-,10.141672248879999
108,CCS(=O)(=O)n1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(C1CCOCC1)CC2,-1.15,BBB-,14.503882990919992
109,CCCCCCCCCCCCCCCCOP(=O)(O)OCC[N+](C)(C)C,-1.14,BBB-,-6.471632862
110,Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,-1.14,BBB-,6.473411849999996
111,CN(C)Cc1ccc(CSCCNC2N=CC=C2[N+](=O)[O-])o1,-1.12,BBB-,16.78470907000001
112,CN(C)Cc1ccc(CSCCNc2[nH]ccc2[N+](=O)[O-])o1,-1.12,BBB-,17.154504819999996
113,CN(C)Cc1ccc(SCCNc2[nH]ccc2[N+](=O)[O-])o1,-1.12,BBB-,15.029873229999998
114,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,-1.11,BBB-,15.075815519999987
115,O=C(O)c1ccccc1O,-1.1,BBB-,5.88947410884286
116,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,-1.1,BBB-,14.867842649999991
117,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,-1.1,BBB-,11.210473049233332
118,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,-1.1,BBB-,11.210473049233332
119,CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2C3=CC=CC4NC=CC(=C34)CC21,-1.1,BBB-,16.89545906700001
120,Cc1ccc(Cc2cnc(NCCSCc3ccc(CN(C)C)o3)[nH]c2=O)cn1,-1.1,BBB-,11.779728302959995
121,O=c1cccc2n1CC1CNCC2C1,-1.09,BBB-,8.148303313000001
122,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,-1.08,BBB-,3.2518175588799996
123,Cc1ccc(Cc2cnc(NCCSCc3ccc(C(C)(C)N)o3)[nH]c2=O)cn1,-1.06,BBB-,12.38375234
124,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,-1.04,BBB-,10.644934193333336
125,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,-1.03,BBB-,12.245056050000006
126,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C=O)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,-1.03,BBB-,22.642554989999997
127,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,-1.03,BBB-,22.642554989999997
128,CN(C)CCc1c[nH]c2ccc(CC3COC(=O)N3)cc12,-1.01,BBB-,10.644934193333336
129,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,-1,BBB+,6.318775542
130,CC(C)(C)c1ccc(C(=O)N2CCN(c3ccc(OCCCN4CCCCC4)cc3)C(=O)C2)cc1,-1,BBB+,6.2647106059599995
131,CCC(C)C1OC2(CCC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2,-1,BBB+,34.20582146333332
132,CCC(NC(=O)c1c(OCC(=O)O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,-1,BBB+,6.128630574799997
133,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@@H](NCOC)[C@@H](N)C1,-1,BBB+,9.979932442586668
134,CCOC(=O)NNc1ccc(N(CC(C)O)C(C)C)nn1,-1,BBB+,17.66481345
135,CN(C)C(=O)Cn1nc(-c2c(-c3ccccc3)nn3ccccc23)ccc1=O,-1,BBB+,18.88143588
136,CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)C2c2ccc3c(c2)OCO3)C1=O,-1,BBB+,11.842670879999998
137,COC(=O)C1C(=O)C=C(Nc2cccc([N+](=O)[O-])c2)CC1C,-1,BBB+,13.561274588219998
138,COC(=O)[C@@H]1C(=O)C=C(Nc2cccc([N+](=O)[O-])c2)C[C@H]1C,-1,BBB+,13.561274588219998
139,COc1cc(N)cn[n+]1-c1ccccc1,-1,BBB+,9.451661141666671
140,COc1cc2c(cc1CNC1C3CCN(C3)C1C(c1ccccc1)c1ccccc1)N(S(C)(=O)=O)CC2,-1,BBB+,15.268167858959991
141,CSc1nn2c(N3CCNCC3)c3c(nc2c1S(=O)(=O)c1ccccc1)CCC3,-1,BBB+,17.866384120000006
142,Cc1cc2ccccc2n1CCNC(=O)/C=C/c1ccc(OCCO)c(OCCO)c1,-1,BBB+,15.681614662960001
143,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,-1,BBB+,13.465246437999987
144,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1,-1,BBB+,7.410666953999994
145,O=C(O)CCCCO/N=C(\c1cccnc1)c1cccc(C(F)(F)F)c1,-1,BBB+,11.376694909999994
146,O=C(c1ccc(C(=O)N2CCN(c3ccc(OC4CCN(C5CCC5)CC4)cc3)C(=O)C2)cc1)N1CCC1,-1,BBB+,13.370192705259994
147,Oc1cc(-c2nc(-c3ccccc3)[nH]c2-c2ccncc2)ccc1Cl,-1,BBB+,3.7835029500000017
148,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,-0.95,BBB+,12.245056050000006
149,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,-0.95,BBB+,13.471566879999996
150,COC(=O)C1C(=O)C=C(Nc2ccc(Cl)cc2)CC1C,-0.95,BBB+,8.109114190000003
151,Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C,-0.93,BBB+,8.603048038506666
152,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@@H](O)CN1CC2CCCCC2C[C@H]1C(=O)CNC(C)(C)C,-0.93,BBB+,10.62674396
153,COn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,-0.92,BBB+,16.20455787
154,CCS(=O)(=O)c1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,-0.92,BBB+,8.524088217386662
155,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,-0.9,BBB+,13.563780476666661
156,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,-0.9,BBB+,18.625979990000005
157,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-0.9,BBB+,12.56266227399999
158,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CCC2(O)C(=O)CO,-0.9,BBB+,4.613296161999998
159,COc1ccc(C(C)(C)O)cc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,-0.89,BBB+,5.495974692960002
160,Nc1cccc(CN2CCC(NC(=O)C(O)(c3ccccc3)C3CCC(F)(F)C3)CC2)n1,-0.89,BBB+,13.737367626299992
161,Nc1cccc(CN2CCC(NC(=O)[C@](O)(c3ccccc3)[C@@H]3CCC(F)(F)C3)CC2)n1,-0.89,BBB+,13.737367626299992
162,CC1CCN(CCC2CCN2S(=O)(=O)C2=CC(O)=CCC2)CC1,-0.89,BBB+,6.851769461300002
163,Cc1cc(Cl)ccc1NC1=NCCN1,-0.87,BBB+,7.428602080000002
164,CN(C)CCOc1ccc(-c2nc(-c3ccc4c(c3)CC/C4=N\CO)c(-c3ccncc3)[nH]2)cc1,-0.85,BBB+,12.098898702586656
165,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,-0.85,BBB+,14.991904799999995
166,Cc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)[nH]c1=O,-0.85,BBB+,14.411635845000001
167,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2ccccc2)cc1,-0.85,BBB+,10.28843920999999
168,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,-0.83,BBB+,30.911395923333316
169,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,-0.83,BBB+,30.911395923333316
170,COc1ccc2nc([S+]([O-])Cc3ncc(C)c(OC)c3C)[nH]c2c1,-0.82,BBB+,17.93276340399999
171,CS(=O)(=O)c1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,-0.81,BBB+,8.636723687386663
172,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,-0.8,BBB+,16.448085333999988
173,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,-0.8,BBB+,21.470786226666654
174,CN/C(=N\CCSCc1csc(NC(=N)N)n1)NC#N,-0.8,BBB+,14.405415289999983
175,C=C(C)C(=O)/C(=C/C(=O)O)OC,-0.8,BBB+,5.447313549999998
176,CCc1ccc(-n2cnc3c(sc4nccc(N(C)CCc5ccccn5)c43)c2=O)cc1,-0.8,BBB+,11.077293801839996
177,CCn1nnc(NC(=O)C2c3ccccc3Oc3ccccc32)n1,-0.8,BBB+,17.627257559999997
178,CN1CCN(Cc2ccc(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)N(C)C)n3)cc2)CC1,-0.8,BBB+,10.613103192959995
179,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,-0.8,BBB+,18.139153157999996
180,Cc1nc2n(c(=O)c1CCN1CCC(c3coc4cc(F)ccc34)CC1)CCCC2O,-0.8,BBB+,16.680470137999986
181,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,-0.8,BBB+,11.589535379999989
182,N[C@H](Cc1ccccc1)C(=O)ON1CCC[C@H]1C(=O)O,-0.8,BBB+,14.40346156333333
183,Nc1ccn(C2CC(CO)C(CO)O2)c(=O)n1,-0.79,BBB+,20.220009200000007
184,C=C(C)C(=O)/C(=C\C(=O)O)OC,-0.79,BBB+,5.447313549999998
185,CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OCC1CCN(C(C)=O)CC1,-0.79,BBB+,10.671296138000002
186,Nc1ccn([C@@H]2CC(CO)C(CO)O2)c(=O)n1,-0.79,BBB+,20.220009200000007
187,C/C=C/C(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N1C,-0.78,BBB+,20.543960339999998
188,C/C=C/[C@@H](C)[C@@H](O)[C@@H]1C(=O)N[C@H](CC)C(=O)N(C)CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N1C,-0.78,BBB+,20.543960339999998
189,C/C=C/[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N1C,-0.78,BBB+,20.543960339999998
