num,smiles,logBB,BBB+/BBB-
40,CCNc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,-1.52,BBB-
41,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,-1.52,BBB-
42,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C/C(C)=C\C=C\[C@@H](C)C(O)[C@@H](C)[C@H](O)[C@H](C)[C@H](OC(C)=O)[C@@H]1C,-1.52,BBB-
43,NCC(CC(=O)O)c1ccc(Cl)cc1,-1.52,BBB-
44,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,-1.5,BBB-
45,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,-1.5,BBB-
46,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,-1.5,BBB-
47,Nc1ccn([C@@H]2CC[C@@H](CO)O2)c(=O)n1,-1.5,BBB-
48,CN[C@H]1C(=O)N[C@@H]2Cc3ccc(cc3)Oc3cc4cc(c3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3NC(=O)CCCCCCCCC(C)C)Oc3ccc(cc3Cl)[C@@H](O)[C@@H]3NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@@H](NC2=O)c2cc(cc(O)c2Cl)Oc2cc1ccc2O)c1ccc(O)c(c1)-c1c(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)cc(O)cc1[C@@H](C(=O)NCCCN(C)C)NC3=O,-1.48,BBB-
49,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2O,-1.48,BBB-
50,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,-1.42,BBB-
51,CC(C)NC(O)COc1ccc(CC(N)=O)cc1,-1.42,BBB-
52,CN=C(NC#N)NCCSCC1=NC=NC1C,-1.42,BBB-
53,CN=C(NC#N)NCCSCc1nc[nH]c1C,-1.4,BBB-
54,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,-1.4,BBB-
55,CCCc1nc(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)nn12,-1.4,BBB-
56,CCCn1c(=O)c2[nH]c(C3CCC(=O)C3)nc2n(CCC)c1=O,-1.4,BBB-
57,CCCn1c(=O)c2[nH]c([C@H]3CCC(=O)C3)nc2n(CCC)c1=O,-1.4,BBB-
58,COC(=O)Nc1nc2ccc(C(=O)N3CCN(c4ccccn4)CC3)cc2[nH]1,-1.4,BBB-
59,COc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCC(O)CC2)n1,-1.4,BBB-
60,NCc1c[n+]2ccccc2[nH]1,-1.4,BBB-
61,Nc1ccc(C(=O)O)cc1,-1.4,BBB-
62,CCOc1ccc(C(=O)c2cccc3ccccc23)c2ccccc12,-1.39,BBB-
63,Cc1ccccc1N=C1N(C)CCN1C,-1.39,BBB-
64,Cc1ccccc1NC1=NCCN1,-1.39,BBB-
65,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,-1.36,BBB-
66,CN1[C@H]2CC[C@H]1[C@@H](CC(=O)O)[C@@H](OC(=O)c1ccccc1)C2,-1.35,BBB-
67,CN1Cc2c(-c3noc(C(C)(C)O)n3)ncn2-c2cccc(Cl)c2C1=O,-1.34,BBB-
68,O=C(O)c1cc(=O)c2c(Cl)cc(Cl)cc2[nH]1,-1.33,BBB-
69,O=c1[nH]cnc2c1ncn2C1CCC(CO)O1,-1.3,BBB-
70,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,-1.3,BBB-
71,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,-1.3,BBB-
72,CN(C)Cc1ccc(CSCCNc2nc(=O)c(Cc3ccc4ccccc4c3)c[nH]2)o1,-1.3,BBB-
73,COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1,-1.3,BBB-
74,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,-1.3,BBB-
75,COc1cccnc1CCCCNc1ncc(Cc2cccc(C)n2)c(=O)[nH]1,-1.3,BBB-
76,Cc1ccc(N=C2N(C)CCN2C)c(C)c1,-1.3,BBB-
77,Cc1ccc(NC2=NCCN2)c(C)c1,-1.3,BBB-
78,Cc1nc(Nc2ncc(C(=O)Nc3c(Cl)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,-1.3,BBB-
79,N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl,-1.3,BBB-
80,NCC1(Cc2noc(=O)[nH]2)CCCCC1,-1.3,BBB-
81,NCCc1nc(-c2ccccc2)cs1,-1.3,BBB-
82,Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12,-1.3,BBB-
83,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,-1.3,BBB-
84,O=c1[nH]cnc2c1ncn2[C@@H]1CC[C@H](CO)O1,-1.3,BBB-
85,O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,-1.3,BBB-
86,OCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,-1.3,BBB-
87,COc1ccc2c(c1)C(CC(=O)O)C(C)N2C(=O)c1ccc(Cl)cc1,-1.26,BBB-
88,COc1ccc2c(c1)[C@@H](CC(=O)O)[C@H](C)N2C(=O)c1ccc(Cl)cc1,-1.26,BBB-
89,O=C(O)c1ccc(-c2ccccc2)cc1,-1.26,BBB-
90,CN/C(=C/[N+](=O)[O-])NCCSc1ccc(CN(C)C)o1,-1.23,BBB-
91,CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,-1.23,BBB-
92,CN/C(=N\C[N+](=O)[O-])NCCSCc1coc(CN(C)C)c1,-1.23,BBB-
93,CN=C(C[N+](=O)[O-])NCCCSc1ccc(CN(C)C)o1,-1.23,BBB-
94,CN=C(C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,-1.23,BBB-
95,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,-1.23,BBB-
96,CNC(C[N+](=O)[O-])=NCCSc1ccc(CN(C)C)o1,-1.23,BBB-
97,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)C(C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,-1.23,BBB-
98,CO[C@H]1CN(CC2Cc3ccc(NC(=O)C(C)C)cc3C2)CCC1n1c(C)nc2cc(C)ccc21,-1.22,BBB-
99,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,-1.22,BBB-
100,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,-1.2,BBB-
101,Nc1ccn(C2CCC(CO)O2)c(=O)n1,-1.2,BBB-
102,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,-1.2,BBB-
103,CN(C)CCc1c[nH]c2ccc(O)cc12,-1.19,BBB-
104,CC(=O)Oc1ccc(/C=C/C(=O)NCCc2ccccc2)cc1OC(C)=O,-1.17,BBB-
105,CN(C)c1cc(-c2n[nH]c(N)n2)ccn1,-1.17,BBB-
106,NC(N)=Nc1nc(-c2cccc(N)c2)cs1,-1.15,BBB-
107,CCOc1ccc(Cc2nc3cc(N(C)S(=O)(=O)c4cccs4)ccc3n2CC2CCCCC2)nc1,-1.15,BBB-
108,CCS(=O)(=O)n1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(C1CCOCC1)CC2,-1.15,BBB-
109,CCCCCCCCCCCCCCCCOP(=O)(O)OCC[N+](C)(C)C,-1.14,BBB-
110,Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,-1.14,BBB-
111,CN(C)Cc1ccc(CSCCNC2N=CC=C2[N+](=O)[O-])o1,-1.12,BBB-
112,CN(C)Cc1ccc(CSCCNc2[nH]ccc2[N+](=O)[O-])o1,-1.12,BBB-
113,CN(C)Cc1ccc(SCCNc2[nH]ccc2[N+](=O)[O-])o1,-1.12,BBB-
114,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,-1.11,BBB-
115,O=C(O)c1ccccc1O,-1.1,BBB-
116,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,-1.1,BBB-
117,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,-1.1,BBB-
118,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,-1.1,BBB-
119,CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2C3=CC=CC4NC=CC(=C34)CC21,-1.1,BBB-
120,Cc1ccc(Cc2cnc(NCCSCc3ccc(CN(C)C)o3)[nH]c2=O)cn1,-1.1,BBB-
121,O=c1cccc2n1CC1CNCC2C1,-1.09,BBB-
122,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,-1.08,BBB-
123,Cc1ccc(Cc2cnc(NCCSCc3ccc(C(C)(C)N)o3)[nH]c2=O)cn1,-1.06,BBB-
124,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,-1.04,BBB-
125,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,-1.03,BBB-
126,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C=O)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,-1.03,BBB-
127,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,-1.03,BBB-
128,CN(C)CCc1c[nH]c2ccc(CC3COC(=O)N3)cc12,-1.01,BBB-
129,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,-1,BBB+
130,CC(C)(C)c1ccc(C(=O)N2CCN(c3ccc(OCCCN4CCCCC4)cc3)C(=O)C2)cc1,-1,BBB+
131,CCC(C)C1OC2(CCC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2,-1,BBB+
132,CCC(NC(=O)c1c(OCC(=O)O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,-1,BBB+
133,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@@H](NCOC)[C@@H](N)C1,-1,BBB+
134,CCOC(=O)NNc1ccc(N(CC(C)O)C(C)C)nn1,-1,BBB+
135,CN(C)C(=O)Cn1nc(-c2c(-c3ccccc3)nn3ccccc23)ccc1=O,-1,BBB+
136,CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)C2c2ccc3c(c2)OCO3)C1=O,-1,BBB+
137,COC(=O)C1C(=O)C=C(Nc2cccc([N+](=O)[O-])c2)CC1C,-1,BBB+
138,COC(=O)[C@@H]1C(=O)C=C(Nc2cccc([N+](=O)[O-])c2)C[C@H]1C,-1,BBB+
139,COc1cc(N)cn[n+]1-c1ccccc1,-1,BBB+
140,COc1cc2c(cc1CNC1C3CCN(C3)C1C(c1ccccc1)c1ccccc1)N(S(C)(=O)=O)CC2,-1,BBB+
141,CSc1nn2c(N3CCNCC3)c3c(nc2c1S(=O)(=O)c1ccccc1)CCC3,-1,BBB+
142,Cc1cc2ccccc2n1CCNC(=O)/C=C/c1ccc(OCCO)c(OCCO)c1,-1,BBB+
143,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,-1,BBB+
144,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1,-1,BBB+
145,O=C(O)CCCCO/N=C(\c1cccnc1)c1cccc(C(F)(F)F)c1,-1,BBB+
146,O=C(c1ccc(C(=O)N2CCN(c3ccc(OC4CCN(C5CCC5)CC4)cc3)C(=O)C2)cc1)N1CCC1,-1,BBB+
147,Oc1cc(-c2nc(-c3ccccc3)[nH]c2-c2ccncc2)ccc1Cl,-1,BBB+
148,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,-0.95,BBB+
149,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,-0.95,BBB+
150,COC(=O)C1C(=O)C=C(Nc2ccc(Cl)cc2)CC1C,-0.95,BBB+
151,Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C,-0.93,BBB+
152,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@@H](O)CN1CC2CCCCC2C[C@H]1C(=O)CNC(C)(C)C,-0.93,BBB+
153,COn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,-0.92,BBB+
154,CCS(=O)(=O)c1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,-0.92,BBB+
155,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,-0.9,BBB+
156,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,-0.9,BBB+
157,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-0.9,BBB+
158,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CCC2(O)C(=O)CO,-0.9,BBB+
159,COc1ccc(C(C)(C)O)cc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,-0.89,BBB+
160,Nc1cccc(CN2CCC(NC(=O)C(O)(c3ccccc3)C3CCC(F)(F)C3)CC2)n1,-0.89,BBB+
161,Nc1cccc(CN2CCC(NC(=O)[C@](O)(c3ccccc3)[C@@H]3CCC(F)(F)C3)CC2)n1,-0.89,BBB+
162,CC1CCN(CCC2CCN2S(=O)(=O)C2=CC(O)=CCC2)CC1,-0.89,BBB+
163,Cc1cc(Cl)ccc1NC1=NCCN1,-0.87,BBB+
164,CN(C)CCOc1ccc(-c2nc(-c3ccc4c(c3)CC/C4=N\CO)c(-c3ccncc3)[nH]2)cc1,-0.85,BBB+
165,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,-0.85,BBB+
166,Cc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)[nH]c1=O,-0.85,BBB+
167,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2ccccc2)cc1,-0.85,BBB+
168,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,-0.83,BBB+
169,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,-0.83,BBB+
170,COc1ccc2nc([S+]([O-])Cc3ncc(C)c(OC)c3C)[nH]c2c1,-0.82,BBB+
171,CS(=O)(=O)c1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,-0.81,BBB+
172,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,-0.8,BBB+
173,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,-0.8,BBB+
174,CN/C(=N\CCSCc1csc(NC(=N)N)n1)NC#N,-0.8,BBB+
175,C=C(C)C(=O)/C(=C/C(=O)O)OC,-0.8,BBB+
176,CCc1ccc(-n2cnc3c(sc4nccc(N(C)CCc5ccccn5)c43)c2=O)cc1,-0.8,BBB+
177,CCn1nnc(NC(=O)C2c3ccccc3Oc3ccccc32)n1,-0.8,BBB+
178,CN1CCN(Cc2ccc(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)N(C)C)n3)cc2)CC1,-0.8,BBB+
179,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,-0.8,BBB+
180,Cc1nc2n(c(=O)c1CCN1CCC(c3coc4cc(F)ccc34)CC1)CCCC2O,-0.8,BBB+
181,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,-0.8,BBB+
182,N[C@H](Cc1ccccc1)C(=O)ON1CCC[C@H]1C(=O)O,-0.8,BBB+
183,Nc1ccn(C2CC(CO)C(CO)O2)c(=O)n1,-0.79,BBB+
184,C=C(C)C(=O)/C(=C\C(=O)O)OC,-0.79,BBB+
185,CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OCC1CCN(C(C)=O)CC1,-0.79,BBB+
186,Nc1ccn([C@@H]2CC(CO)C(CO)O2)c(=O)n1,-0.79,BBB+
187,C/C=C/C(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N1C,-0.78,BBB+
188,C/C=C/[C@@H](C)[C@@H](O)[C@@H]1C(=O)N[C@H](CC)C(=O)N(C)CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N1C,-0.78,BBB+
189,C/C=C/[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N1C,-0.78,BBB+
190,CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,-0.78,BBB+
191,Cc1c(CCOC(=O)c2cc(=O)c3c(Cl)cc(Cl)cc3[nH]2)sc[n+]1C,-0.78,BBB+
192,NC(Cc1ccc(O)c(O)c1)C(=O)O,-0.77,BBB+
193,Oc1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,-0.77,BBB+
194,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,-0.76,BBB+
195,CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O,-0.74,BBB+
196,CN(C)Cc1ccc(CSCCNc2[nH]cc(Cc3ccccc3)c2[N+](=O)[O-])o1,-0.73,BBB+
197,CN(C)Cc1ccc(SCCNc2[nH]cc(Cc3ccccc3)c2[N+](=O)[O-])o1,-0.73,BBB+
198,CN(C)Cc1ccc(CSCCNc2[nH]ccc2Cc2ccccc2)o1,-0.73,BBB+
199,CN(C)Cc1ccc(CSCCNc2cc(Cc3ccccc3)c[nH]2)o1,-0.73,BBB+
200,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,-0.72,BBB+
201,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,-0.72,BBB+
202,Cc1cn(C2CC(N=[N+]=N)C(CO)O2)c(=O)[nH]c1=O,-0.72,BBB+
203,Cc1cn(C2CC(NN=N)C(CO)O2)c(=O)[nH]c1=O,-0.72,BBB+
204,Cc1cn([C@@H]2C[C@H](N=[N+]=[N-])[C@H](CO)O2)c(=O)[nH]c1=O,-0.72,BBB+
205,CCCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,-0.71,BBB+
206,S=c1nc[nH]c2nc[nH]c12,-0.71,BBB+
207,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,-0.7,BBB+
208,C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,-0.7,BBB+
209,C=CC1C[C@@H]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,-0.7,BBB+
210,CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,-0.7,BBB+
211,CC1CN(C2CCC(C#N)(c3ccc(F)cc3)CC2)CCC1(C(=O)O)c1ccccc1,-0.7,BBB+
212,CC1N=C(N)Nc2cccc(Cl)c21,-0.7,BBB+
